Flight_ID,Date,Route,Aircraft_Type,Passengers,Ticket_Price_USD,Delay_Minutes,Weather_Condition,Maintenance_Status,Customer_Satisfaction_Score
FL00686,2025-08-11,JFK-LHR,Airbus A380,89,997.97,16,Clear,Routine,2
FL00687,2025-09-30,BOM-LHR,Boeing 787,359,787.22,14,Storm,Routine,1
FL00688,2025-11-26,JFK-LHR,Boeing 787,216,831.67,13,Clear,Routine,3
FL00689,2025-02-10,JFK-LHR,Airbus A380,309,1358.51,11,Clear,Routine,4
FL00690,2025-07-20,BOM-LHR,Airbus A350,192,451.36,18,Clear,Delayed,4
FL00691,2025-05-09,JFK-CDG,Airbus A380,253,379.59,23,Rain,Cleared,3
FL00692,2025-10-05,JFK-LHR,Airbus A350,225,253.41,15,Fog,Routine,1
FL00693,2025-06-17,BOM-LHR,Airbus A350,311,642.5,56,Clear,Routine,3
FL00694,2025-11-15,SIN-SYD,Airbus A320,301,434.27,9,Rain,Routine,4
FL00695,2025-12-23,DXB-LHR,Boeing 787,378,524.98,21,Clear,Routine,3
FL00696,2025-08-14,DXB-LHR,Boeing 787,249,264.05,8,Snow,Delayed,1
FL00697,2025-08-09,JFK-LHR,Airbus A350,248,533.99,34,Clear,Routine,5
FL00698,2025-02-19,JFK-CDG,Boeing 787,245,665.89,2,Clear,Routine,2
FL00699,2025-11-05,JFK-CDG,Boeing 777,363,289.46,5,Clear,Delayed,4
FL00700,2025-04-13,SIN-SYD,Airbus A350,126,1009.88,40,Clear,Urgent,5
FL00701,2025-10-07,JFK-LHR,Boeing 787,68,961.0,5,Fog,Urgent,5
FL00702,2025-09-07,DXB-LHR,Boeing 777,111,371.29,24,Fog,Routine,3
FL00703,2025-04-23,JFK-CDG,Airbus A320,376,993.76,87,Clear,Routine,1
FL00704,2025-12-08,JFK-LHR,Boeing 787,330,1498.32,18,Clear,Routine,3
FL00705,2025-06-29,DEL-SFO,Boeing 777,299,1430.59,5,Rain,Routine,4
FL00706,2025-07-10,JFK-CDG,Airbus A380,276,253.34,9,Clear,Routine,5
FL00707,2025-05-14,BOM-LHR,Airbus A380,176,1244.22,43,Clear,Urgent,3
FL00708,2025-08-29,DEL-SFO,Boeing 777,107,692.01,10,Clear,Routine,5
FL00709,2025-10-08,JFK-CDG,Airbus A350,253,329.56,32,Fog,Routine,2
FL00710,2025-05-20,DXB-LHR,Airbus A350,292,619.98,37,Snow,Delayed,3
FL00711,2025-02-15,SFO-HND,Boeing 787,381,652.17,17,Storm,Routine,1
FL00712,2025-10-13,DEL-SFO,Airbus A380,375,904.06,38,Clear,Routine,3
FL00713,2025-06-22,SIN-SYD,Airbus A350,301,1076.35,9,Snow,Routine,2
FL00714,2025-09-23,SIN-SYD,Airbus A350,371,1186.32,18,Clear,Delayed,1
FL00715,2025-12-08,DXB-LHR,Airbus A380,248,557.38,29,Clear,Cleared,2
FL00716,2025-04-16,JFK-CDG,Airbus A320,392,652.21,4,Storm,Delayed,3
FL00717,2025-02-12,JFK-LHR,Airbus A350,289,635.48,7,Fog,Delayed,5
FL00718,2025-10-01,JFK-CDG,Boeing 777,188,703.42,26,Fog,Routine,1
FL00719,2025-05-01,DXB-LHR,Boeing 787,171,1499.57,26,Snow,Routine,3
FL00720,2025-07-17,SIN-SYD,Airbus A350,98,1222.43,16,Rain,Delayed,2
FL00721,2025-11-26,JFK-CDG,Airbus A350,353,1468.74,39,Rain,Cleared,5
FL00722,2025-08-27,SIN-SYD,Airbus A320,164,1116.39,16,Fog,Routine,4
FL00723,2025-07-31,DEL-SFO,Boeing 777,392,757.84,53,Clear,Routine,1
FL00724,2025-10-03,JFK-LHR,Boeing 787,300,737.18,33,Clear,Routine,5
FL00725,2025-08-06,DEL-SFO,Airbus A350,56,860.73,9,Snow,Cleared,1
FL00726,2025-08-31,SIN-SYD,Boeing 787,268,771.09,12,Fog,Routine,5
FL00727,2025-10-29,SIN-SYD,Airbus A380,126,1285.41,27,Clear,Delayed,2
FL00728,2025-09-22,SFO-HND,Airbus A350,228,831.25,56,Snow,Delayed,2
FL00729,2025-11-19,SFO-HND,Airbus A350,194,619.52,4,Clear,Delayed,3
FL00730,2025-08-03,DEL-SFO,Airbus A380,203,1218.58,18,Fog,Routine,2
FL00731,2025-12-17,BOM-LHR,Airbus A320,170,1318.03,3,Rain,Cleared,4
FL00732,2025-03-30,DEL-SFO,Airbus A350,173,775.54,8,Clear,Routine,1
FL00733,2025-05-25,SFO-HND,Boeing 787,199,1084.76,28,Snow,Routine,2
FL00734,2025-03-09,SIN-SYD,Boeing 777,317,323.51,2,Storm,Routine,3
FL00735,2025-05-21,DXB-LHR,Boeing 787,376,911.83,27,Fog,Routine,5
FL00736,2025-10-25,DEL-SFO,Airbus A320,50,306.23,57,Fog,Routine,3
FL00737,2025-09-21,SIN-SYD,Boeing 777,210,286.49,87,Clear,Routine,3
FL00738,2025-05-21,DXB-LHR,Boeing 787,293,1016.16,6,Clear,Delayed,1
FL00739,2025-11-30,DXB-LHR,Boeing 787,300,629.17,34,Storm,Routine,4
FL00740,2025-04-27,SFO-HND,Airbus A380,113,1178.17,65,Fog,Delayed,2
FL00741,2025-02-26,DEL-SFO,Airbus A320,348,1370.1,2,Clear,Routine,3
FL00742,2025-09-04,JFK-CDG,Airbus A380,297,424.24,13,Clear,Routine,1
FL00743,2025-01-24,JFK-LHR,Boeing 777,346,1155.65,62,Clear,Routine,1
FL00744,2025-06-16,SFO-HND,Airbus A380,164,893.15,5,Clear,Routine,3
FL00745,2025-01-19,SFO-HND,Airbus A320,344,390.15,67,Snow,Routine,1
FL00746,2025-02-24,JFK-CDG,Airbus A350,50,1064.49,18,Clear,Routine,1
FL00747,2025-12-04,JFK-LHR,Airbus A350,90,1011.83,2,Clear,Routine,1
FL00748,2025-05-27,SIN-SYD,Boeing 777,222,894.55,14,Fog,Routine,4
FL00749,2025-08-16,BOM-LHR,Airbus A350,137,1408.09,9,Clear,Routine,3
FL00750,2025-08-03,DEL-SFO,Airbus A380,147,901.35,8,Snow,Routine,4
FL00751,2025-02-10,BOM-LHR,Boeing 777,137,1488.14,19,Clear,Urgent,5
FL00752,2025-12-16,SIN-SYD,Airbus A320,300,886.54,16,Rain,Routine,1
FL00753,2025-12-22,SFO-HND,Boeing 777,384,394.82,16,Clear,Routine,5
FL00754,2025-05-13,JFK-LHR,Boeing 777,190,838.09,2,Clear,Routine,5
FL00755,2025-01-12,SFO-HND,Boeing 787,120,477.91,40,Clear,Delayed,5
FL00756,2025-12-18,DXB-LHR,Boeing 787,186,996.42,16,Fog,Routine,4
FL00757,2025-01-08,SFO-HND,Boeing 777,148,1116.42,42,Clear,Routine,4
FL00758,2025-10-06,SFO-HND,Airbus A350,200,835.54,43,Clear,Routine,1
FL00759,2025-12-23,SIN-SYD,Boeing 787,224,372.13,9,Storm,Routine,4
FL00760,2025-11-14,SIN-SYD,Airbus A320,216,835.8,0,Clear,Routine,1
FL00761,2025-04-28,SIN-SYD,Airbus A380,392,351.82,60,Fog,Routine,1
FL00762,2025-05-16,BOM-LHR,Boeing 787,306,1102.66,35,Clear,Cleared,1
FL00763,2025-10-10,DXB-LHR,Boeing 777,273,1237.96,2,Clear,Routine,4
FL00764,2025-08-30,SIN-SYD,Airbus A350,379,1452.98,30,Clear,Routine,4
FL00765,2025-11-22,JFK-LHR,Airbus A380,114,436.0,0,Clear,Routine,3
FL00766,2025-06-27,BOM-LHR,Boeing 787,118,915.53,0,Clear,Delayed,5
FL00767,2025-03-18,JFK-CDG,Airbus A350,116,959.42,18,Clear,Routine,2
FL00768,2025-05-09,JFK-LHR,Airbus A350,99,1403.1,2,Clear,Routine,4
FL00769,2025-12-12,DEL-SFO,Airbus A350,363,1034.1,83,Fog,Routine,1
FL00770,2025-06-18,DEL-SFO,Boeing 777,358,431.89,56,Storm,Routine,4
FL00771,2025-04-02,JFK-LHR,Airbus A320,140,795.44,26,Rain,Cleared,5
FL00772,2025-09-04,SIN-SYD,Airbus A350,164,1068.45,1,Clear,Routine,4
FL00773,2025-05-25,JFK-CDG,Airbus A380,106,1125.36,9,Rain,Routine,2
FL00774,2025-11-03,JFK-CDG,Boeing 787,391,1328.84,11,Clear,Routine,1
FL00775,2025-05-29,BOM-LHR,Airbus A380,67,475.63,16,Fog,Delayed,1
FL00776,2025-06-27,JFK-CDG,Boeing 777,321,1439.43,4,Clear,Routine,4
FL00777,2025-02-28,DEL-SFO,Boeing 777,179,323.92,21,Rain,Routine,2
FL00778,2025-08-26,DXB-LHR,Airbus A380,318,1479.7,14,Rain,Routine,4
FL00779,2025-10-31,SIN-SYD,Airbus A320,129,1322.21,73,Rain,Routine,1
FL00780,2025-02-12,JFK-CDG,Boeing 777,348,1075.34,68,Fog,Routine,4
FL00781,2025-04-20,BOM-LHR,Boeing 777,359,1168.74,20,Clear,Routine,4
FL00782,2025-05-09,DEL-SFO,Airbus A380,251,340.87,25,Rain,Routine,1
FL00783,2025-04-01,DXB-LHR,Boeing 777,274,301.85,3,Clear,Routine,5
FL00784,2025-06-05,SFO-HND,Airbus A320,208,377.21,6,Clear,Delayed,4
FL00785,2025-08-17,SFO-HND,Airbus A320,253,359.2,57,Clear,Routine,4
FL00786,2025-06-27,DXB-LHR,Airbus A320,186,934.23,30,Storm,Cleared,1
FL00787,2025-10-20,DEL-SFO,Boeing 787,122,519.3,5,Clear,Routine,1
FL00788,2025-09-20,BOM-LHR,Airbus A320,97,1325.26,21,Clear,Routine,5
FL00789,2025-02-22,DXB-LHR,Airbus A320,67,807.19,68,Clear,Routine,2
FL00790,2025-12-14,SIN-SYD,Boeing 787,316,1119.39,10,Rain,Routine,5
FL00791,2025-07-03,SIN-SYD,Airbus A350,389,1066.09,5,Fog,Routine,4
FL00792,2025-12-10,SFO-HND,Boeing 777,68,649.82,71,Clear,Routine,3
FL00793,2025-06-05,JFK-CDG,Airbus A320,149,553.96,15,Clear,Urgent,4
FL00794,2025-06-15,BOM-LHR,Boeing 777,165,678.07,13,Clear,Routine,1
FL00795,2025-08-28,SFO-HND,Airbus A380,395,1245.82,7,Clear,Routine,4
FL00796,2025-10-15,JFK-CDG,Boeing 777,123,982.85,55,Fog,Delayed,4
FL00797,2025-02-10,JFK-CDG,Boeing 787,329,566.92,46,Clear,Routine,5
FL00798,2025-03-15,SIN-SYD,Boeing 777,318,1272.31,12,Clear,Urgent,1
FL00799,2025-12-23,DEL-SFO,Boeing 777,174,318.45,0,Rain,Routine,5
FL00800,2025-04-09,JFK-LHR,Boeing 777,165,1123.98,14,Clear,Routine,3
FL00801,2025-11-16,DEL-SFO,Airbus A350,223,798.88,4,Rain,Delayed,5
FL00802,2025-01-07,JFK-LHR,Airbus A350,230,1164.11,3,Storm,Routine,4
FL00803,2025-04-12,DXB-LHR,Airbus A380,275,1409.33,12,Clear,Routine,3
FL00804,2025-04-09,SIN-SYD,Boeing 787,206,1187.54,2,Clear,Urgent,5
FL00805,2025-12-08,JFK-CDG,Boeing 777,213,802.46,78,Clear,Urgent,3
FL00806,2025-05-17,BOM-LHR,Boeing 777,120,438.72,1,Clear,Urgent,4
FL00807,2025-10-10,JFK-LHR,Boeing 777,271,1257.94,12,Clear,Routine,2
FL00808,2025-06-25,DEL-SFO,Boeing 777,175,825.88,4,Fog,Delayed,1
FL00809,2025-07-26,JFK-CDG,Airbus A350,194,344.14,29,Snow,Routine,3
FL00810,2025-12-23,JFK-LHR,Airbus A380,225,1148.82,2,Clear,Delayed,1
FL00811,2025-12-20,JFK-LHR,Airbus A320,201,614.81,19,Fog,Routine,5
FL00812,2025-03-20,JFK-LHR,Boeing 787,231,311.11,37,Clear,Routine,2
FL00813,2025-03-24,BOM-LHR,Boeing 777,396,1378.44,74,Rain,Urgent,3
FL00814,2025-03-31,SIN-SYD,Airbus A380,134,853.88,29,Clear,Delayed,5
FL00815,2025-08-22,BOM-LHR,Airbus A320,170,601.2,2,Clear,Cleared,2
FL00816,2025-06-18,SFO-HND,Airbus A380,178,1145.48,2,Snow,Routine,4
FL00817,2025-08-04,JFK-CDG,Airbus A350,55,1357.38,32,Clear,Routine,1
FL00818,2025-09-08,SIN-SYD,Airbus A320,383,250.38,6,Clear,Cleared,5
FL00819,2025-08-23,SIN-SYD,Airbus A380,232,1109.82,14,Clear,Routine,5
FL00820,2025-10-24,SIN-SYD,Airbus A350,87,1208.76,93,Clear,Urgent,4
FL00821,2025-11-16,DEL-SFO,Airbus A380,165,512.41,42,Rain,Delayed,2
FL00822,2025-09-24,SIN-SYD,Airbus A380,151,862.03,46,Storm,Urgent,4
FL00823,2025-03-26,BOM-LHR,Airbus A320,57,361.61,49,Clear,Routine,2
FL00824,2025-07-30,SIN-SYD,Airbus A350,267,1183.44,24,Clear,Delayed,2
FL00825,2025-02-14,DXB-LHR,Boeing 777,256,1309.32,34,Clear,Routine,3
FL00826,2025-05-16,JFK-CDG,Boeing 787,127,385.23,11,Rain,Cleared,5
FL00827,2025-02-14,SIN-SYD,Airbus A320,104,1270.58,161,Clear,Routine,3
FL00828,2025-04-01,JFK-CDG,Airbus A350,353,1214.46,8,Rain,Routine,2
FL00829,2025-05-01,DXB-LHR,Airbus A380,277,683.64,22,Fog,Routine,5
FL00830,2025-06-06,DXB-LHR,Airbus A350,137,1112.86,8,Clear,Delayed,4
FL00831,2025-11-19,JFK-CDG,Boeing 787,59,250.06,2,Clear,Delayed,1
FL00832,2025-09-25,JFK-LHR,Boeing 787,357,1414.75,20,Rain,Routine,4
FL00833,2025-03-06,SFO-HND,Boeing 777,339,937.98,10,Clear,Delayed,2
FL00834,2025-12-18,DEL-SFO,Boeing 777,213,1025.42,21,Clear,Delayed,2
FL00835,2025-12-27,JFK-LHR,Boeing 787,288,1080.82,20,Rain,Routine,2
FL00836,2025-04-20,JFK-LHR,Airbus A320,366,951.71,19,Rain,Routine,3
FL00837,2025-09-03,BOM-LHR,Airbus A320,193,1320.95,3,Clear,Routine,4
FL00838,2025-08-21,DEL-SFO,Airbus A380,384,1012.13,14,Clear,Urgent,5
FL00839,2025-11-04,DEL-SFO,Boeing 777,67,1384.7,41,Clear,Cleared,5
FL00840,2025-12-01,JFK-LHR,Airbus A380,120,977.91,9,Fog,Routine,2
FL00841,2025-05-12,SIN-SYD,Boeing 777,224,463.9,14,Fog,Routine,4
FL00842,2025-08-25,BOM-LHR,Boeing 787,391,1391.95,17,Snow,Routine,1
FL00843,2025-03-26,BOM-LHR,Airbus A320,337,1102.03,49,Rain,Routine,4
FL00844,2025-05-05,DXB-LHR,Airbus A320,348,1124.05,26,Clear,Routine,5
FL00845,2025-01-12,DEL-SFO,Boeing 787,388,1481.85,2,Clear,Routine,2
FL00846,2025-07-30,JFK-LHR,Airbus A380,297,344.0,50,Clear,Routine,4
FL00847,2025-04-21,DXB-LHR,Airbus A380,242,785.74,44,Storm,Routine,2
FL00848,2025-12-27,JFK-CDG,Airbus A350,374,548.87,35,Clear,Routine,2
FL00849,2025-12-20,SFO-HND,Boeing 777,355,1038.03,15,Snow,Routine,2
FL00850,2025-05-09,BOM-LHR,Airbus A380,317,1258.51,35,Storm,Routine,1
FL00851,2025-10-28,JFK-CDG,Boeing 787,253,1457.89,16,Fog,Delayed,5
FL00852,2025-10-04,JFK-CDG,Airbus A380,390,818.25,33,Snow,Routine,1
FL00853,2025-08-25,SIN-SYD,Airbus A320,172,1232.77,53,Clear,Routine,4
FL00854,2025-05-12,SFO-HND,Boeing 777,107,1396.31,55,Clear,Routine,4
FL00855,2025-07-29,JFK-CDG,Airbus A350,388,1104.16,15,Clear,Routine,2
FL00856,2025-08-28,JFK-CDG,Boeing 777,250,553.42,49,Clear,Routine,1
FL00857,2025-03-04,SFO-HND,Airbus A320,161,1009.82,2,Clear,Routine,1
FL00858,2025-03-29,SFO-HND,Airbus A320,177,1462.44,2,Clear,Routine,5
FL00859,2025-02-11,JFK-CDG,Airbus A320,85,1484.44,19,Fog,Routine,3
FL00860,2025-07-01,SFO-HND,Airbus A320,283,1052.95,26,Clear,Routine,4
FL00861,2025-04-15,JFK-CDG,Boeing 787,359,1358.73,4,Rain,Delayed,2
FL00862,2025-02-16,JFK-CDG,Airbus A350,96,500.44,15,Clear,Routine,1
FL00863,2025-06-27,SIN-SYD,Airbus A320,164,557.6,2,Fog,Delayed,4
FL00864,2025-03-09,JFK-LHR,Airbus A320,304,1441.11,23,Clear,Routine,4
FL00865,2025-09-13,JFK-CDG,Airbus A380,272,419.04,48,Clear,Routine,4
FL00866,2025-06-24,DXB-LHR,Airbus A350,173,488.88,33,Clear,Routine,1
FL00867,2025-02-10,BOM-LHR,Boeing 777,209,775.69,11,Storm,Routine,4
FL00868,2025-10-01,DEL-SFO,Airbus A350,145,986.98,127,Clear,Routine,3
FL00869,2025-04-13,JFK-LHR,Airbus A350,156,1004.77,27,Storm,Routine,1
FL00870,2025-12-02,JFK-LHR,Airbus A350,169,614.97,42,Rain,Delayed,1
FL00871,2025-04-22,JFK-LHR,Airbus A320,150,1400.77,27,Clear,Delayed,2
FL00872,2025-06-03,SIN-SYD,Airbus A320,152,1393.87,113,Clear,Routine,4
FL00873,2025-09-06,JFK-CDG,Boeing 787,215,740.09,43,Snow,Routine,4
FL00874,2025-03-23,SIN-SYD,Boeing 777,235,792.86,18,Clear,Routine,5
FL00875,2025-06-10,JFK-CDG,Airbus A380,81,1128.12,11,Fog,Routine,1
FL00876,2025-07-05,SIN-SYD,Airbus A350,115,1078.74,28,Clear,Routine,1
FL00877,2025-05-05,SIN-SYD,Boeing 777,228,727.87,22,Rain,Routine,5
FL00878,2025-05-17,BOM-LHR,Boeing 777,316,767.81,24,Rain,Delayed,1
FL00879,2025-12-07,DXB-LHR,Boeing 787,86,685.05,10,Rain,Routine,5
FL00880,2025-05-18,SIN-SYD,Airbus A380,250,544.23,13,Clear,Routine,2
FL00881,2025-01-12,BOM-LHR,Airbus A350,98,822.67,20,Fog,Cleared,3
FL00882,2025-05-09,SFO-HND,Airbus A380,324,1108.04,45,Snow,Routine,2
FL00883,2025-10-10,DXB-LHR,Boeing 787,217,1177.46,35,Clear,Cleared,3
FL00884,2025-04-29,SIN-SYD,Airbus A320,312,1223.59,3,Rain,Delayed,3
FL00885,2025-12-16,DEL-SFO,Boeing 777,182,718.42,7,Clear,Routine,2
FL00886,2025-09-20,JFK-LHR,Airbus A350,347,1205.79,0,Fog,Routine,1
FL00887,2025-03-05,SFO-HND,Airbus A320,393,258.15,0,Fog,Cleared,2
FL00888,2025-12-10,SFO-HND,Boeing 787,225,846.31,6,Clear,Routine,4
FL00889,2025-08-28,BOM-LHR,Airbus A380,60,1242.38,40,Clear,Routine,1
FL00890,2025-05-08,SFO-HND,Boeing 777,250,1037.56,58,Fog,Routine,5
FL00891,2025-11-04,DXB-LHR,Airbus A350,346,842.58,12,Clear,Routine,4
FL00892,2025-06-03,SIN-SYD,Airbus A320,52,1055.8,20,Fog,Routine,4
FL00893,2025-12-26,SIN-SYD,Airbus A320,263,1383.68,30,Rain,Routine,2
FL00894,2025-11-19,DEL-SFO,Boeing 777,345,957.98,76,Clear,Routine,3
FL00895,2025-05-29,JFK-LHR,Airbus A380,356,1249.73,61,Clear,Routine,1
FL00896,2025-12-10,BOM-LHR,Boeing 787,81,1475.93,1,Clear,Routine,4
FL00897,2025-05-17,JFK-LHR,Airbus A380,97,1131.96,7,Storm,Routine,1
FL00898,2025-07-19,SFO-HND,Airbus A380,376,966.66,1,Clear,Routine,1
FL00899,2025-12-13,DEL-SFO,Airbus A380,301,296.86,23,Clear,Routine,4
FL00900,2025-06-18,JFK-LHR,Boeing 777,248,718.1,30,Fog,Cleared,2
FL00901,2025-08-26,DXB-LHR,Boeing 777,138,956.8,9,Clear,Routine,3
FL00902,2025-07-28,SIN-SYD,Boeing 787,158,1246.51,48,Clear,Routine,3
FL00903,2025-07-02,SFO-HND,Airbus A380,340,797.63,15,Clear,Routine,4
FL00904,2025-07-17,DEL-SFO,Boeing 777,157,1450.07,160,Clear,Routine,1
FL00905,2025-12-21,JFK-LHR,Boeing 787,89,589.74,0,Clear,Urgent,1
FL00906,2025-12-12,BOM-LHR,Boeing 787,101,1180.71,2,Clear,Routine,4
FL00907,2025-03-03,DXB-LHR,Airbus A380,161,773.79,8,Clear,Routine,1
FL00908,2025-08-18,DXB-LHR,Airbus A350,344,857.49,0,Clear,Cleared,2
FL00909,2025-10-04,JFK-LHR,Airbus A380,117,1253.13,38,Rain,Delayed,3
FL00910,2025-09-26,SIN-SYD,Airbus A350,238,620.27,1,Rain,Routine,2
FL00911,2025-11-24,JFK-LHR,Boeing 787,381,371.02,34,Clear,Cleared,1
FL00912,2025-03-19,SFO-HND,Boeing 777,258,900.32,1,Clear,Urgent,3
FL00913,2025-12-30,JFK-LHR,Airbus A320,114,910.99,7,Clear,Cleared,4
FL00914,2025-11-21,DXB-LHR,Boeing 787,111,1246.46,46,Clear,Routine,3
FL00915,2025-11-14,DEL-SFO,Boeing 777,307,1460.4,75,Clear,Cleared,3
FL00916,2025-06-09,JFK-LHR,Boeing 787,183,319.13,13,Fog,Routine,4
FL00917,2025-07-12,SIN-SYD,Airbus A380,171,989.61,87,Clear,Routine,2
FL00918,2025-09-05,DEL-SFO,Airbus A350,380,1101.6,24,Clear,Routine,3
FL00919,2025-04-29,BOM-LHR,Boeing 787,220,1482.25,13,Rain,Routine,1
FL00920,2025-09-09,JFK-CDG,Boeing 777,259,1428.24,40,Rain,Routine,3
FL00921,2025-04-14,JFK-LHR,Airbus A380,345,1140.56,8,Fog,Routine,5
FL00922,2025-06-19,SIN-SYD,Airbus A320,138,902.24,7,Clear,Routine,3
FL00923,2025-06-14,DEL-SFO,Airbus A380,216,451.9,26,Clear,Routine,1
FL00924,2025-10-26,SIN-SYD,Airbus A350,77,730.22,12,Clear,Cleared,5
FL00925,2025-01-06,BOM-LHR,Airbus A380,287,981.4,3,Clear,Delayed,5
FL00926,2025-04-03,DXB-LHR,Airbus A320,385,1156.5,1,Clear,Routine,2
FL00927,2025-11-05,SIN-SYD,Boeing 777,112,1044.25,38,Fog,Delayed,5
FL00928,2025-02-12,DEL-SFO,Boeing 787,304,1142.65,28,Rain,Routine,4
FL00929,2025-01-04,SIN-SYD,Airbus A350,90,786.44,13,Clear,Routine,1
FL00930,2025-10-24,SIN-SYD,Airbus A320,78,1159.53,56,Clear,Routine,2
FL00931,2025-11-30,SIN-SYD,Airbus A350,328,429.68,13,Fog,Routine,3
FL00932,2025-07-23,SFO-HND,Airbus A380,129,453.23,30,Clear,Routine,5
FL00933,2025-06-23,SFO-HND,Airbus A350,100,453.54,59,Fog,Routine,2
FL00934,2025-08-17,DXB-LHR,Airbus A320,161,1363.58,45,Rain,Routine,4
FL00935,2025-09-26,JFK-LHR,Boeing 787,350,345.04,17,Fog,Routine,2
FL00936,2025-06-02,SIN-SYD,Boeing 787,139,1251.89,28,Fog,Routine,4
FL00937,2025-12-15,BOM-LHR,Airbus A350,278,541.96,13,Clear,Delayed,2
FL00938,2025-09-18,JFK-LHR,Boeing 777,199,835.54,26,Snow,Routine,1
FL00939,2025-06-11,BOM-LHR,Airbus A350,292,1394.95,7,Clear,Routine,3
FL00940,2025-11-15,JFK-LHR,Airbus A380,187,982.42,14,Clear,Cleared,3
FL00941,2025-08-25,DXB-LHR,Boeing 787,184,512.65,5,Clear,Urgent,3
FL00942,2025-01-18,SIN-SYD,Boeing 787,138,605.11,0,Clear,Delayed,2
FL00943,2025-12-05,SIN-SYD,Boeing 787,64,1400.56,22,Clear,Routine,5
FL00944,2025-10-06,JFK-CDG,Boeing 777,382,783.93,49,Clear,Delayed,2
FL00945,2025-09-28,BOM-LHR,Boeing 777,223,983.73,0,Clear,Routine,3
FL00946,2025-11-13,JFK-LHR,Airbus A320,139,824.92,5,Fog,Delayed,2
FL00947,2025-01-22,JFK-LHR,Airbus A350,262,723.05,15,Clear,Urgent,5
FL00948,2025-05-30,SFO-HND,Airbus A350,392,529.1,27,Clear,Routine,4
FL00949,2025-09-02,JFK-CDG,Airbus A380,110,1107.74,4,Clear,Routine,1
FL00950,2025-03-25,DEL-SFO,Boeing 787,269,1147.8,1,Clear,Routine,3
FL00951,2025-04-02,DEL-SFO,Boeing 777,110,593.61,18,Rain,Routine,2
FL00952,2025-08-13,SFO-HND,Airbus A380,356,1236.26,42,Storm,Routine,4
FL00953,2025-08-22,SFO-HND,Airbus A380,215,1318.17,0,Clear,Routine,3
FL00954,2025-08-18,SFO-HND,Boeing 777,61,1400.84,10,Clear,Routine,3
FL00955,2025-09-08,BOM-LHR,Airbus A350,265,451.52,27,Rain,Delayed,4
FL00956,2025-07-07,BOM-LHR,Boeing 787,126,629.9,3,Clear,Routine,1
FL00957,2025-09-10,DXB-LHR,Airbus A350,281,1325.44,6,Clear,Cleared,2
FL00958,2025-03-04,DXB-LHR,Airbus A380,161,498.18,19,Rain,Delayed,2
FL00959,2025-01-25,SFO-HND,Boeing 787,115,254.34,76,Rain,Cleared,2
FL00960,2025-08-13,JFK-CDG,Airbus A320,231,1338.53,8,Clear,Delayed,5
FL00961,2025-07-04,JFK-LHR,Airbus A380,253,658.06,16,Clear,Routine,3
FL00962,2025-03-06,BOM-LHR,Airbus A350,255,768.12,12,Rain,Routine,4
FL00963,2025-04-10,JFK-CDG,Airbus A350,335,807.92,56,Clear,Delayed,1
FL00964,2025-10-20,SIN-SYD,Airbus A350,154,1310.34,1,Storm,Routine,3
FL00965,2025-08-18,BOM-LHR,Boeing 777,291,672.37,20,Clear,Routine,5
FL00966,2025-10-16,BOM-LHR,Airbus A380,284,1365.35,46,Clear,Delayed,2
FL00967,2025-08-06,DXB-LHR,Boeing 787,225,1021.17,110,Clear,Urgent,4
FL00968,2025-03-16,JFK-LHR,Airbus A350,260,909.11,29,Fog,Routine,4
FL00969,2025-06-18,JFK-LHR,Airbus A350,80,657.02,11,Snow,Routine,1
FL00970,2025-12-10,DEL-SFO,Boeing 777,284,554.64,13,Fog,Routine,1
FL00971,2025-08-02,DEL-SFO,Boeing 787,291,1030.07,10,Clear,Routine,3
FL00972,2025-06-28,DEL-SFO,Airbus A380,202,808.62,23,Storm,Cleared,1
FL00973,2025-01-27,DEL-SFO,Airbus A320,245,1388.15,33,Fog,Delayed,3
FL00974,2025-09-29,SIN-SYD,Boeing 777,318,864.55,42,Clear,Routine,1
FL00975,2025-10-22,SIN-SYD,Airbus A380,219,889.74,13,Fog,Routine,2
FL00976,2025-12-21,BOM-LHR,Airbus A320,372,770.9,31,Fog,Delayed,2
FL00977,2025-07-31,SFO-HND,Airbus A350,385,1236.58,61,Fog,Routine,1
FL00978,2025-11-18,DXB-LHR,Airbus A350,281,781.05,63,Fog,Routine,2
FL00979,2025-07-17,DXB-LHR,Boeing 787,233,586.68,30,Snow,Routine,1
FL00980,2025-10-12,DEL-SFO,Airbus A320,324,1327.54,25,Fog,Urgent,5
FL00981,2025-12-21,BOM-LHR,Airbus A350,81,996.04,18,Clear,Delayed,3
FL00982,2025-03-24,JFK-CDG,Airbus A350,226,989.39,5,Snow,Routine,1
FL00983,2025-11-11,SFO-HND,Boeing 787,114,1013.53,3,Clear,Urgent,2
FL00984,2025-06-19,BOM-LHR,Airbus A380,247,1148.55,16,Rain,Cleared,1
FL00985,2025-05-20,SFO-HND,Airbus A350,76,641.33,4,Snow,Routine,4
FL00986,2025-09-22,SFO-HND,Boeing 777,200,292.31,21,Rain,Routine,5
FL00987,2025-04-08,SFO-HND,Boeing 777,352,1263.24,25,Storm,Delayed,2
FL00988,2025-08-30,BOM-LHR,Airbus A380,317,411.13,18,Clear,Routine,5
FL00989,2025-04-14,DEL-SFO,Airbus A320,134,1152.27,0,Clear,Routine,2
FL00990,2025-08-22,DXB-LHR,Boeing 787,115,352.89,1,Clear,Routine,3
